created_at,user,tweet
2023-01-15 11:38:37,khalidawmusse,".@SenatorRisch doesn't want Putin to be the nosy neighbor in Ukraine's backyard, but he wants to be the nosy neighbor in Somalia's backyard. 

#Read #politics #hypocrisy @Halganka_ssc 
 #doublestandards 

https://t.co/lUHe32FBn7"
2023-01-15 11:36:59,retweetnews2019,Do You Have News to Share? Get It Published. https://t.co/rP4nTTat81 #Politics
2023-01-15 11:36:59,retweetnews2019,Laura Kuenssberg left shocked as Keir Starmer admits 'I never wanted to be Prime Minister' https://t.co/QclGHprMHy #Politics
2023-01-15 11:36:59,retweetnews2019,Prime Minister and Home Minister to go to Pokhara to inspect crash site https://t.co/REUEddO2eV #Politics
2023-01-15 11:36:58,retweetnews2019,Prime minister to lessen control over universities after EU pressure https://t.co/qmUfQzmyvW #Politics
2023-01-15 11:36:58,retweetnews2019,(Video) Iran’s Democratic Revolution: ISJ Book Launch at Brussels Press Club https://t.co/5NYz3oHcP7 #Politics
2023-01-15 11:36:57,retweetnews2019,More classified documents found at Biden's home: White House https://t.co/4KTSdrGWYb #Politics
2023-01-15 11:36:57,retweetnews2019,"China is taking lessons from Russia's invasion of Ukraine, Taiwan's foreign minister says https://t.co/FuUAorK5Gq #Politics"
2023-01-15 11:36:56,retweetnews2019,Egyptian-Chinese talks in Cairo on Sunday at level of foreign ministers https://t.co/lD94Wf8ks2 #Politics
2023-01-15 11:36:55,retweetnews2019,"Several more pages of classified documents found at Biden's residences, White House says https://t.co/If5TKGFs6E #Politics"
2023-01-15 11:36:55,retweetnews2019,More classified documents found at US President Joe Biden's residences: White House https://t.co/jsuiCUuCCU #Politics
2023-01-15 11:35:10,TheBWSTimes,"The Justice Department is reviewing a batch of potentially classified documents found in the Washington office space of President Joe Biden’s former institute, the White House said Monday. [READ MORE] https://t.co/8j6e9f5U0V 

#potus #DOJ #politics #classifieddocuments https://t.co/LSxLBDLB9D"
2023-01-15 11:35:02,India24hoursliv,"Shivraj Chouhan Anguished Over Use Of Obscene Language For Him At Karni Sena Protest

https://t.co/BeQ9p9NZgT 
#Karni_Sena_protest #Madhya_Pradesh #Shivraj_Singh_Chouhan #Breaking_News #Featured #Politics

https://t.co/BeQ9p9NZgT"
2023-01-15 11:34:06,UrnewzN,Keir Starmer hints four times he'll ditch his tuition fees vow saying 'a lot has changed' #news #politics https://t.co/dMeafroW2U
2023-01-15 11:32:21,youdebunked,@AzamJamil53 @FaisalM59003426 Shah g is Mirasi of #Politics nobody should be surprised
2023-01-15 11:28:05,PoliticsPollss,Which political party is the most trustworthy? #Politics #Poll
2023-01-15 11:27:14,PoliticsPollss,Which political party do you think is the worst? #Politics
2023-01-15 11:25:01,PoliticsPollss,Who would you prefer as Prime Minister? #Politics #Poll
2023-01-15 11:23:46,worldnews_guru,Biden Administration Approves Loan Relief Applicants Amid Pending Program Appeal https://t.co/9068D7npR2 #politics
2023-01-15 11:23:39,jatingosalia17,"@priyankac19 @siddheshsawant_ Madam, If #AmitShah is worried I think #UddhavThackeray will b busy in business and will retire from #politics"
2023-01-15 11:20:33,PoliticsPollss,"A Holocaust survivor has said that the language used by Home Secretary Suella Braverman to describe immigrants is ""very, very similar"" to that used in Nazi Germany against Jewish people. Is Suella Braverman a racist? #Politics"
2023-01-15 11:17:38,MDMITONISLAM1,"ED of @tib1971bd Dr Iftekharuzzaman said that keeping #KhaledaZia &amp; #TariqueRahman in @bnpbdorg78 ’s top leadership “contradicts” their 27-point outline for state reform, which includes stance against #corruption, a sign of “moral decay”.
➡️https://t.co/zUJGFkGZ6X
#BNP #politics"
2023-01-15 11:14:01,viralnews_osint,"'When you have impact players like Ishan, Suryakumar...': Gambhir's huge statement on Kohli's role for ODI World Cup #breaking #breakingnews #politics #usa #news #newsbreak #trending #entertainment #sports #hockey #baseball #tennis #football #markets #st… https://t.co/pKbv7KElyY"
2023-01-15 11:12:53,PoliticsPollss,"The UK is to send Challenger 2 tanks to Ukraine to bolster the country's war effort, Prime Minister Rishi Sunak has said. Do you support or oppose this decision? #Politics #Poll"
2023-01-15 11:12:40,GptSANT,"Understanding #Democracy -

@UNDemocracyFund @Democracyglobe @ForumAthens #politics #Hindi https://t.co/JZlqQHX3hX"
2023-01-15 11:12:04,guardiansyoung,"My latest #fantasybooks is FREE on #Kindle for five days. If you or a loved one enjoy fantasy stories with ferocious #dragons, wretched #MONSTERS, heartfelt #Romance, and cutthroat #Politics, feel free to check out this book. #KindleUnlimited #medieval 

https://t.co/jHwBeKeIMB"
2023-01-15 11:11:34,AngrySince87,"Maryland Lt. Gov.-elect Aruna Miller brings expansive vision of the job https://t.co/4sGXXKHydE #BREAKINGNEWS #papabrain #first #music #culture #politics #dmv

Google Papa Brain for the latest"
